realization,scenario,collected_event,omega_at_infinity,gamma_used_only_in_sampling_law,event_conditioned_transmissivity,S_R_nats,I_QR_nats,A_op
0,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6924669221164687,0.002798100802878567,0.9979815969238899
0,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3754605014193342,0.022822128270142628,0.9835373143610667
0,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.034639614556545,0.1552920313289392,0.887980478256083
0,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5587224796158026,0.6982696282392338,0.4963049350679387
0,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5431715658946183,1.2069246190370588,0.12938791869421684
0,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0181840732720397,1.335780518232062,0.036438035315257356
0,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3715644090978445,1.3723883778156802,0.010031046575834535
0,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599452,1.3862943611198901,3.3306690738754696e-16
1,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6926115834808173,0.011691384065208421,0.9915664490939978
1,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.371274691347816,0.05602047234203811,0.9595897711819421
1,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0151690176467354,0.20202371765308813,0.8542706921999688
1,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.514203822316083,0.6924362027957662,0.5005128620472817
1,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.492300409682859,1.1648047177707554,0.1597710050340312
1,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.004930264530523,1.319571213037674,0.04813057742535687
1,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.380083467681798,1.3835509140084241,0.0019789787713269114
1,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599452,1.3862943611198901,3.3306690738754696e-16
2,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6901635078025614,0.008403570720044273,0.9939381050982162
2,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3704038126688374,0.043009351440011834,0.9689753109828222
2,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.008981850434004,0.17087400270772068,0.8767404618383621
2,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.474170089724572,0.673460122208069,0.5142012107269718
2,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.494992556747343,1.191091700531888,0.14080895519932146
2,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0154046642695893,1.3427559260351425,0.031406342192416004
2,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3675590113577805,1.377544790387953,0.006311481152436849
2,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198904,1.1102230246251565e-16
3,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6930237947522628,0.009361899367942295,0.9932468171042841
3,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.371173841396076,0.051890231793941144,0.9625691099601511
3,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0088480336201098,0.1941746229158654,0.8599326172263982
