realization,protocol,d_collected,F_cond,P_success,Y_weighted
0,matched,1,0.5746292822780463,0.43506310539711046,0.2499999999999996
0,matched,2,0.8499339505830908,0.2941405033043908,0.24999999999999956
0,matched,3,0.9574481625280713,0.2611107418493476,0.24999999999999944
0,matched,4,0.9887244149073328,0.2528510434562602,0.24999999999999942
0,matched,5,0.9974720070099811,0.25063359998382173,0.24999999999999942
0,matched,6,0.999369446112806,0.2501577379340653,0.24999999999999933
0,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
1,matched,1,0.5728732024484493,0.43639674352283236,0.24999999999999956
1,matched,2,0.8393140462335518,0.29786228542448734,0.24999999999999956
1,matched,3,0.9554801187778771,0.261648562944215,0.24999999999999942
1,matched,4,0.9899551026265665,0.2525367052876388,0.24999999999999942
1,matched,5,0.9972133350383278,0.25069861304090024,0.24999999999999933
1,matched,6,0.9995234887552359,0.25011918460399446,0.24999999999999942
1,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
2,matched,1,0.5697960622993419,0.4387534708315732,0.24999999999999956
2,matched,2,0.8379646676998129,0.29834193449497315,0.24999999999999953
2,matched,3,0.9550214768435499,0.26177421771317305,0.24999999999999947
2,matched,4,0.9897230577436744,0.25259591361843986,0.24999999999999936
2,matched,5,0.9979853538851162,0.25050467827685,0.24999999999999936
2,matched,6,0.9996632602039022,0.2500842133069955,0.2499999999999992
2,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
3,matched,1,0.5713045703641544,0.4375949589212062,0.2499999999999995
3,matched,2,0.8476675523027899,0.29492694314043844,0.24999999999999953
3,matched,3,0.9556709760649946,0.26159630904496267,0.24999999999999944
3,matched,4,0.9881180602265478,0.2530062044839878,0.24999999999999933
3,matched,5,0.995991590729219,0.2510061353198383,0.24999999999999933
3,matched,6,0.9994396569365005,0.2501401643059708,0.24999999999999933
3,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
4,matched,1,0.5743904694611912,0.435243990441751,0.24999999999999958
4,matched,2,0.8424274454083496,0.29676146161028394,0.2499999999999995
4,matched,3,0.9541904439622493,0.2620022046771727,0.24999999999999956
4,matched,4,0.9874028194696003,0.2531894735061533,0.24999999999999942
4,matched,5,0.9973837686876952,0.2506557734831962,0.24999999999999944
4,matched,6,0.9994031353461302,0.2501493052785102,0.2499999999999994
4,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
5,matched,1,0.5671491467652394,0.4408011568489273,0.24999999999999958
5,matched,2,0.8390918356070824,0.29794116614080113,0.24999999999999953
5,matched,3,0.9556813124520807,0.26159347969099767,0.24999999999999936
5,matched,4,0.9889409604620445,0.252795677391294,0.24999999999999942
